"Proc","EventDur","EC1","EC2","EC3","Time","SeqIndx"
16,98,2,245,418,8,1
16,94,2,245,418,7,1
16,160,2,245,418,7,1
16,153,1,100,0,29,3
16,126,2,245,418,5,1
16,112,2,245,418,7,1
16,126,1,100,0,28,3
16,118,1,100,0,4,3
16,100,2,245,418,8,1
16,122,2,245,418,7,1
16,10334,2,204,319,20,141
16,134,1,100,0,29,3
16,104,2,245,418,10,1
16,96,2,245,418,8,1
16,102,2,245,418,9,1
16,172,2,245,418,9,1
16,134,2,245,418,7,1
16,522,2,245,418,8,5
16,94,2,245,418,6,1
16,150,1,100,0,22,3
16,216,2,245,418,9,1
16,136,2,245,418,9,1
16,116,2,245,418,9,1
16,166,1,100,0,29,3
16,102,2,245,418,7,1
16,120,2,245,418,8,1
16,156,1,100,0,16,3
16,106,2,245,418,8,1
16,94,2,245,418,8,1
16,92,2,245,418,6,1
16,94,2,245,418,9,1
16,118,1,100,0,27,3
16,782,1,100,0,4,3
16,132,1,100,0,24,3
16,96,2,245,418,7,1
16,96,2,245,418,7,1
16,194,1,100,0,5,3
16,96,2,245,418,9,1
16,226,2,204,317,22,61
16,106,2,245,418,7,1
16,120,1,100,0,4,3
16,104,2,245,418,8,1
16,7276,2,204,319,14,110
16,90,2,245,418,9,1
16,184,2,245,418,9,1
16,136,1,100,0,26,3
16,98,2,245,418,6,1
16,130,1,100,0,28,3
16,130,1,100,0,18,3
16,100,2,245,418,8,1
16,106,2,245,418,9,1
16,96,2,245,418,7,1
16,98,2,245,418,6,1
16,102,2,245,418,8,1
16,131,2,245,418,9,1
16,216,2,204,317,20,61
16,128,1,100,0,23,3
16,102,2,245,418,6,1
16,13841,2,204,319,10,157
16,86,1,100,0,5,9
16,132,1,100,0,27,3
16,152,1,100,0,25,3
16,13836,2,204,319,19,157
16,147,1,100,0,13,3
16,94,2,245,418,6,1
16,13792,2,204,319,11,157
16,130,1,100,0,7,3
16,198,2,204,317,17,61
16,104,2,245,418,10,1
16,94,2,245,418,8,1
16,100,2,245,418,6,1
16,118,2,245,418,7,1
16,132,1,100,0,22,3
16,134,1,100,0,26,3
16,128,1,100,0,24,3
16,136,1,100,0,12,3
16,95,2,245,418,8,1
16,124,1,100,0,5,3
16,150,1,100,0,18,3
16,108,2,245,418,7,1
16,142,1,100,0,22,3
16,448,2,245,418,9,1
16,132,2,245,418,7,1
16,106,2,245,418,8,1
16,116,1,100,0,4,3
16,102,2,245,418,7,1
16,216,1,100,0,8,3
16,149,1,100,0,20,3
16,108,2,245,418,9,1
16,100,2,245,418,9,1
16,238,2,245,418,9,1
16,272,1,100,0,18,280
16,432,2,245,418,8,1
16,120,2,245,418,6,1
16,104,2,245,418,7,1
16,127,1,100,0,25,3
16,128,1,100,0,5,3
16,96,2,245,418,6,1
16,100,2,245,418,9,1
16,119,1,100,0,23,3
16,104,2,245,418,7,1
16,110,2,245,418,6,1
16,98,2,245,418,8,1
16,132,1,100,0,27,3
16,134,1,100,0,19,3
16,98,2,245,418,8,1
16,132,1,100,0,4,3
16,498,2,245,418,8,1
16,122,1,100,0,28,3
16,98,2,245,418,8,1
16,130,2,245,418,7,1
16,111,1,100,0,17,3
16,158,1,100,0,15,3
16,110,2,245,418,8,1
16,100,2,245,418,8,1
16,118,2,245,418,6,1
16,102,2,245,418,6,1
16,110,2,245,418,8,1
16,134,1,100,0,5,3
16,101,2,245,418,6,1
16,114,1,100,0,24,3
16,18,2,245,418,7,2
16,94,2,245,418,5,1
16,426,2,245,418,7,1
16,104,2,245,418,10,1
16,102,2,245,418,9,1
16,96,1,100,0,4,9
16,104,2,245,418,6,1
16,150,1,100,0,22,3
16,13855,2,204,319,11,157
16,120,1,100,0,16,3
16,452,2,245,418,9,1
16,128,2,245,418,9,1
16,124,1,100,0,24,3
16,104,2,245,418,9,1
16,144,1,100,0,26,3
16,190,2,245,418,8,1
16,13876,2,204,319,24,157
16,308,2,245,418,9,4
